# ICM42688 vertical acceleration GUI log
# vertical_accel_mps2=(accel_z_g-1.0)*9.80665
# start_unix=1778752813
host_time_iso,elapsed_s,imu_time_us,imu_sample,imu_temp_c,accel_x_g,accel_y_g,accel_z_g,vertical_accel_g,vertical_accel_mps2,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_failed_reads
2026-05-14T18:00:15.721,2.480,23014953,1063,25.574,-0.00049,-0.11084,-0.96973,-1.969730,-19.316453,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.745,2.504,23040220,1064,25.543,0.00000,-0.11084,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.767,2.526,23060218,1065,25.574,-0.00049,-0.10938,-0.97070,-1.970700,-19.325965,-0.061,0.122,-0.183,1
2026-05-14T18:00:15.779,2.539,23075977,1066,25.574,-0.00098,-0.11084,-0.97070,-1.970700,-19.325965,-0.061,0.122,-0.183,1
2026-05-14T18:00:15.805,2.564,23101211,1067,25.574,0.00049,-0.11035,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.244,1
2026-05-14T18:00:15.830,2.589,23121210,1068,25.574,0.00049,-0.11084,-0.97119,-1.971190,-19.330770,-0.122,0.122,-0.183,1
2026-05-14T18:00:15.842,2.601,23136953,1069,25.559,0.00098,-0.11133,-0.97168,-1.971680,-19.335576,-0.061,0.183,-0.183,1
2026-05-14T18:00:15.913,2.672,23162219,1070,25.543,0.00098,-0.11182,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.122,1
2026-05-14T18:00:15.913,2.673,23182211,1071,25.574,-0.00244,-0.10986,-0.96729,-1.967290,-19.292524,0.000,0.244,-0.183,1
2026-05-14T18:00:15.914,2.673,23197952,1072,25.574,-0.00049,-0.10889,-0.96289,-1.962890,-19.249375,-0.122,0.183,-0.183,1
2026-05-14T18:00:15.933,2.692,23223231,1073,25.559,-0.00244,-0.10986,-0.96289,-1.962890,-19.249375,-0.122,0.122,-0.122,1
2026-05-14T18:00:15.946,2.705,23243220,1074,25.559,0.00146,-0.11475,-0.98926,-1.989260,-19.507977,-0.183,0.061,-0.061,1
2026-05-14T18:00:15.971,2.730,23258970,1075,25.574,0.00195,-0.10986,-0.97461,-1.974610,-19.364309,-0.061,0.244,-0.122,1
2026-05-14T18:00:15.996,2.755,23284230,1076,25.543,0.00049,-0.10938,-0.97119,-1.971190,-19.330770,-0.122,0.061,-0.183,1
2026-05-14T18:00:16.009,2.768,23304219,1077,25.559,-0.00293,-0.11133,-0.97021,-1.970210,-19.321160,-0.122,0.122,-0.183,1
2026-05-14T18:00:16.021,2.781,23318959,1078,25.574,0.00146,-0.11084,-0.96924,-1.969240,-19.311647,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.060,2.819,23355971,1079,25.528,0.00049,-0.11133,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.083,2.842,23381217,1080,25.574,0.00000,-0.10986,-0.97119,-1.971190,-19.330770,-0.061,0.122,-0.183,1
2026-05-14T18:00:16.109,2.869,23401228,1081,25.574,-0.00098,-0.10986,-0.97021,-1.970210,-19.321160,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.120,2.879,23416971,1082,25.589,0.00098,-0.10986,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.145,2.904,23442218,1083,25.543,-0.00146,-0.11133,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.167,2.926,23462221,1084,25.604,0.00000,-0.11133,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.122,1
2026-05-14T18:00:16.179,2.938,23477971,1085,25.574,-0.00146,-0.11035,-0.96973,-1.969730,-19.316453,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.216,2.975,23503230,1086,25.543,-0.00098,-0.10986,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.122,1
2026-05-14T18:00:16.228,2.988,23523228,1087,25.543,-0.00098,-0.11035,-0.97021,-1.970210,-19.321160,-0.122,0.122,-0.122,1
2026-05-14T18:00:16.241,3.000,23538957,1088,25.543,0.00000,-0.11084,-0.97070,-1.970700,-19.325965,-0.122,0.122,-0.122,1
2026-05-14T18:00:16.266,3.026,23564231,1089,25.528,0.00098,-0.11084,-0.96924,-1.969240,-19.311647,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.292,3.051,23584221,1090,25.559,-0.00098,-0.11035,-0.97021,-1.970210,-19.321160,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.304,3.063,23599958,1091,25.589,0.00000,-0.10986,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.122,1
2026-05-14T18:00:16.327,3.086,23625230,1092,25.543,-0.00098,-0.11084,-0.97168,-1.971680,-19.335576,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.352,3.112,23645228,1093,25.543,-0.00098,-0.11035,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.367,3.126,23660957,1094,25.574,-0.00098,-0.11182,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.418,3.177,23686231,1095,25.543,0.00000,-0.11035,-0.97119,-1.971190,-19.330770,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.418,3.178,23706221,1096,25.559,-0.00049,-0.10938,-0.96875,-1.968750,-19.306842,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.431,3.191,23721957,1097,25.543,-0.00098,-0.10986,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.457,3.216,23747211,1098,25.574,0.00000,-0.11035,-0.96875,-1.968750,-19.306842,-0.061,0.122,-0.183,1
2026-05-14T18:00:16.469,3.229,23767221,1099,25.559,0.00049,-0.11230,-0.97021,-1.970210,-19.321160,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.494,3.253,23782945,1100,25.574,0.00000,-0.11133,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.519,3.279,23808201,1101,25.543,0.00000,-0.11084,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.532,3.292,23828202,1102,25.574,-0.00146,-0.11035,-0.97070,-1.970700,-19.325965,-0.061,0.183,-0.122,1
2026-05-14T18:00:16.545,3.304,23842958,1103,25.589,0.00000,-0.11084,-0.97217,-1.972170,-19.340381,-0.061,0.244,-0.183,1
2026-05-14T18:00:16.570,3.329,23869218,1104,25.543,-0.00244,-0.10889,-0.96631,-1.966310,-19.282914,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.595,3.354,23889211,1105,25.543,-0.00049,-0.10791,-0.96045,-1.960450,-19.225447,-0.122,0.122,-0.183,1
2026-05-14T18:00:16.610,3.370,23903957,1106,25.559,-0.00098,-0.11133,-0.96777,-1.967770,-19.297232,-0.183,0.122,-0.122,1
2026-05-14T18:00:16.633,3.392,23930212,1107,25.574,-0.00049,-0.11133,-0.97217,-1.972170,-19.340381,-0.061,0.183,-0.122,1
2026-05-14T18:00:16.658,3.417,23950210,1108,25.528,0.00000,-0.10938,-0.97266,-1.972660,-19.345186,-0.122,0.183,-0.183,1
2026-05-14T18:00:16.671,3.430,23965929,1109,25.574,-0.00049,-0.10938,-0.97266,-1.972660,-19.345186,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.693,3.452,23991230,1110,25.543,0.00000,-0.11084,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.718,3.478,24011220,1111,25.574,0.00000,-0.11182,-0.97119,-1.971190,-19.330770,-0.122,0.183,-0.122,1
2026-05-14T18:00:16.731,3.490,24026959,1112,25.589,0.00049,-0.10986,-0.96924,-1.969240,-19.311647,-0.061,0.183,-0.122,1
2026-05-14T18:00:16.756,3.515,24052212,1113,25.574,-0.00146,-0.11084,-0.96924,-1.969240,-19.311647,-0.122,0.122,-0.183,1
2026-05-14T18:00:16.781,3.541,24072227,1114,25.543,-0.00049,-0.10986,-0.96973,-1.969730,-19.316453,-0.061,0.183,-0.183,1
2026-05-14T18:00:16.794,3.553,24087954,1115,25.574,-0.00049,-0.11084,-0.97070,-1.970700,-19.325965,-0.122,0.183,-0.122,1
